"#KateConwayisaJerk" (2015)	2015-????
"Friday Night Tykes" (2014) {Welcome to the Juniors (#2.1)}	2015
"Friday Night Videos" (1983) {(1998-12-11)}	1998
"Friday Night with Jonathan Ross" (2001) {(#9.14)}	2005
"FriendZone" (2011) {(#1.14)}	2011
"Fringe" (2008) {The Arrival (#1.4)}	2008
"Fringe" (2008) {The Ghost Network (#1.3)}	2008
"Front Page Story" (1965) {Nine-Tenths of the Iceberg (#1.20)}	1965
"Front Page with Allen Barton" (2009) {Property Tax Sucker Punch: How Long Can Homeowners Pay the Price for Fiscal Mismanagement?}	2011
"Front Seat Chronicles" (2012) {Do You Remember (#1.5)}	2012
"Frontier" (1955) {The Devil and Doctor O'Hara (#1.16)}	1956
"Frontline" (1983) {Bread, Butter and Politics (#2.14)}	1984
"Frontline" (1994) {The Art of the Interview (#3.9)}	1997
"Frontline/World" (2002) {Uganda: Out of the Wild}	2009
"Fuck Team Five" (2008) {Rogue, Kitty & Sonia}	2008
"Full Color" (2010)	2010-2012
"Full House" (1972) {(1973-01-13)}	1973
"Full House" (2014) {(#2.5)}	????
"Full Throttle Saloon" (2009) {Jackyl on a Wire (#4.9)}	2013
"Fun with Frith" (1957) {(#1.5)}	1957
"Furum�n wo sagashite" (2002) {Shinobi yoru Bouma (#1.33)}	2002
"F�rKv�ll" (2006) {(#3.4)}	2010
"F�ria de Viver" (2002) {(#1.2)}	2002
"F�tbol es f�tbol" (1994) {(1994-11-23)}	1994
"F�rin kazan" (2007) {Shingen ansatsu (#1.44)}	2007
"G 4" (2008) {Drasi - Antidrasi (#1.6)}	2008
"G-Force: Guardians of Space" (1987) {G-Force Agent 6 (#1.60)}	1987
"G4's Proving Ground" (2011)	2011-????
"Ga-rei: Zero" (2008) {Utsukushi no teki (#1.6)}	2008
"GA: Geijutsuka �to dezain kurasu" (2009) {Shururearisumu (#1.8)}	2009
"Gadalka" (2012) {(#5.13)}	????
"Gaia no yoake" (2002) {Yasai bijinesu shin jidai (#1.90)}	2004
"Gaiam: Mayo Clinic Wellness Solutions for Heart Health" (2008)	2008-????
"Gainesville" (2015) {I'm Not Yours. You're Not Mine. (#1.3)}	2015
"Galactik Football" (2006) {Battle for the Final (#3.11)}	2011
"Galactik Football" (2006) {The Traitor (#1.25)}	????
"Galaxy Angel" (2000) {Final Dish REBECCA (zenpen) (#3.51)}	2003
"Galileo" (2007) {(#8.67)}	????
"Galis" (2012) {Perek 43 (#3.16)}	????
"Game Grumps" (2012) {Bloodborne - Part 50: Constantly Compared}	2015
"Game Grumps" (2012) {Mega Man 6 Part 6: Everything Hurts}	2014
"Game Grumps" (2012) {Super Mario Bros 2: Part 6 - Finale}	2013
"Game Grumps" (2012) {Vice Project Doom - Part 5: Stallion Horses}	2015
"Game of Thrones" (2011) {Valar Dohaeris (#3.1)}	2013
"Gamesmaster" (1992) {(#4.9)}	????
"Gang Busters" (1952) {The Scissors Case}	1952
"Gardening by the Yard" (2004) {Railroad Gardens/Stone Wall/Bulb Botany}	2009
"Gary & Mike" (2001) {Washington D.C. (#1.5)}	2001
"Gary and Jim Present" (2013) {April Fools (#1.7)}	2013
"Gav HaUma" (2015) {(#2.2)}	2015
"Gavilan" (1982)	1982-1983
"Geek Crash Course" (2011) {Skyfall Prep (James Bond 007) (#7.4)}	2012
"Geek Cred" (2014) {To Hoth or Hoth Not (#1.3)}	2014
"Geek Love" (2011) {Bronie Friend Zone (Alex) (#2.1)}	2013
"Geeking Out On..." (2012) {Ryan Gosling (#2.11)}	2013
"Geeks and Jocks" (2015) {Neighbors (#1.4)}	2015
"Gegege no ny�b�" (2010) {(#1.31)}	2010
"Gemini Division" (2008) {Termination Date (#1.35)}	2008
"Gene Detectives" (2007) {Valerie Purton (#1.4)}	2007
"Generaci� digital" (2011) {(#3.3)}	2012
"General Hospital" (1963) {(#1.10063)}	2002
"General Hospital" (1963) {(#1.10247)}	2003
"General Hospital" (1963) {(#1.10529)}	2004
"General Hospital" (1963) {(#1.11262)}	2007
"General Hospital" (1963) {(#1.11366)}	2007
"General Hospital" (1963) {(#1.11569)}	2008
"General Hospital" (1963) {(#1.11774)}	2009
"General Hospital" (1963) {(#1.11781)}	2009
"General Hospital" (1963) {(#1.12004)}	2010
"General Hospital" (1963) {(#1.12447)}	2011
"General Hospital" (1963) {(#1.12592)}	2012
"General Hospital" (1963) {(#1.12674)}	2012
"General Hospital" (1963) {(#1.13237)}	2015
"General Hospital" (1963) {(#1.2670)}	2012
"General Hospital" (1963) {(1988-05-26)}	1988
"General Hospital" (1963) {(1996-04-08)}	1996
"Generations" (1993) {(2000-05-11)}	2000
"Generations" (1993) {(2002-08-01)}	2002
"Generations" (1993) {(2003-09-15)}	2003
"Genijalci" (2005) {(#2.3)}	2006
"Gentalha" (2014) {O Beb� (#1.10)}	2014
"Gente" (1995) {(1996-01-18)}	1996
"Gente" (1995) {(1997-11-26)}	1997
"Gente" (1995) {(1999-02-05)}	1999
"Gente" (1995) {(1999-07-23)}	1999
"Gente" (1995) {(2000-01-14)}	2000
"Gente" (1995) {(2003-07-04)}	2003
"Gente" (1995) {(2005-01-17)}	2005
"Gente" (1995) {(2008-01-04)}	2008
"Gente" (1995) {(2013-01-29)}	2013
"Georg Thomallas Geschichten" (1982) {Ein irrer Beruf (#1.5)}	1982
"George & Mildred" (1976) {On the Second Day of Christmas (#4.7)}	1978
"George and Larry Lamb's Parent Trip" (2010)	2010-????
"George and the Dragon" (1966) {Sunday Morning (#2.2)}	1967
"George Clarke's Amazing Spaces" (2012) {Barge, Container and Caravan (#1.6)}	2012
"Georgia Traveler" (2006) {Holiday Tour of Georgia}	2009
"Gernots Club" (2007) {(#1.1)}	2007
"Get It Sold" (2007) {An Expanding Family Needs Sabrina's Help Staging Their Home That's Been on the Market for Six Months}	2008
"Get Ready for the UFC" (2006) {Kelvin Gastelum vs. Rick Story UFC 171}	2014
"Get Smart" (1965) {Smart the Assassin (#1.22)}	1966
"Get Smart" (1965) {The Little Black Book: Part 2 (#3.17)}	1968
"Get Swank'd" (2015) {Textbook Fashion (#1.5)}	2015
"Getaway" (1992) {Greek Islands: Part 2 (#19.29)}	2010
"GGN: Snoop Dogg's Double G News Network" (2011) {GGN B Real & Snoop Talk About Weed, Weed, Weed and Smoking with Bruce Willis (#5.36)}	2013
"GGN: Snoop Dogg's Double G News Network" (2011) {GGN Kat Dahlia & Snoop (#5.31)}	2013
"Ghahveye Talkh" (2010) {(#1.34)}	2010
"Ghetto Court" (2012) {The Left Side of the Menu (#1.16)} {{SUSPENDED}}	????
"Ghost Whisperer" (2005) {Greek Tragedy (#4.15)}	2009
"Ghosthunters" (1996) {(#2.4)}	1996
"Giallo di sera" (1971) {La chiave 05 (#1.6)}	1971
"Gibby" (2013) {Pilot (#1.1)}	????
"Gidget" (1965) {Like Voodoo (#1.18)}	1966
"Gilmore Girls" (2000) {Swan Song (#3.14)}	2003
"Gina D's Kids Club" (2004) {Learn to Count (#2.8)}	????
"Ginga eiy� densetsu" (1989) {Under the Golden Lion Flag (Goldenl�we) (#3.11)}	1994
"Gintama" (2006) {Ichinichi kyokuch� ni ki wo tsukerotten maiy� san (#1.56)}	2007
"Gintama" (2006) {What Happens Twice Can Happen Thrice (#5.16)}	2011
"Gintbergs store aften - hver aften" (2005) {(#2.6)}	2005
"Girls in Love" (2003) {Drop the Boy (#1.4)}	2003
"Girls" (2012) {Hard Being Easy (#1.5)}	2012
"Girls' Generation Star Life Theater" (2011) {(#1.3)}	2011
"Giruti Kuraun" (2011) {Tekisha (#1.2)}	2011
"Giving You the Business" (2013) {Salad Days (#1.8)}	2013
"Gladiator Academy" (2002) {(#1.10)}	????
"Glamour..." (1962) {(#4.5)}	1965
"Glass Reflection" (2009) {Serial Experiments Lain (#1.11)}	2009
"Glenn Beck" (2006) {(2007-06-04)}	2007
"Gli amici di Oskar" (2004)	2004-????
"Glistening" (2011) {(#1.8)}	2011
"Global News" (1974) {(2009-10-11)}	2009
"Global News" (1974) {(2012-10-21)}	2012
"Global News" (1974) {(2012-12-04)}	2012
"Global News" (1974) {(2012-12-16)}	2012
"Gloria" (1982) {Death Row Dog (#1.17)}	1983
"Glukhar 2. Prodolzhenie" (2009) {(#1.41)}	????
"Glukhar 2. Prodolzhenie" (2009) {(#1.7)}	????
"Glumpers" (2011) {(#1.12)}	????
"GMTV" (1993) {(2003-12-10)}	2003
"GMTV" (1993) {(2004-09-07)}	2004
"GMTV" (1993) {(2005-02-01)}	2005
"GMTV" (1993) {(2007-10-29)}	2007
"GMTV" (1993) {(2008-12-18)}	2008
"Go Deep" (2008)	2008-2009
"Go Public: A Documentary Film Project" (2012) {A Day in the Life of Marvin Hatchett}	2012
"Go See This Movie" (2011) {Top 5 Friday the 13th Movies (#1.21)}	2012
"Go' morgen Danmark" (1996) {(2003-09-05)}	2003
"Goalstar" (2012) {(#1.12)}	2012
"Gobu gobu" (2007) {(2013-06-25)}	2013
"God's Quiz" (2010) {Spirits of the Dead (#3.8)}	2012
"Godzilla: The Animated Series" (2010) {The Energy Beast (#1.6)}	2010
"Goede tijden, slechte tijden" (1990) {(2007-05-02)}	2007
"Goede tijden, slechte tijden" (1990) {Aflevering 1497 (#8.152)}	1998
"Goede tijden, slechte tijden" (1990) {Aflevering 166 (#1.166)}	1991
"Goede tijden, slechte tijden" (1990) {Aflevering 1663 (#9.123)}	1999
"Goede tijden, slechte tijden" (1990) {Aflevering 1754 (#10.19)}	1999
"Goede tijden, slechte tijden" (1990) {Aflevering 1901 (#10.171)}	2000
"Goede tijden, slechte tijden" (1990) {Aflevering 2083 (#11.148)}	2001
"Goede tijden, slechte tijden" (1990) {Aflevering 2318 (#12.188)}	2002
"Goede tijden, slechte tijden" (1990) {Aflevering 2473 (#13.123)}	2003
"Goede tijden, slechte tijden" (1990) {Aflevering 3626 (#18.196)}	2008
"Goede tijden, slechte tijden" (1990) {Aflevering 3815 (#19.170)}	2009
"Goede tijden, slechte tijden" (1990) {Aflevering 4622 (#23.97)}	2013
"Goede tijden, slechte tijden" (1990) {Aflevering 4640 (#23.115)}	2013
"Goede tijden, slechte tijden" (1990) {Aflevering 5068 (#25.103)}	2015
"Goede tijden, slechte tijden" (1990) {Aflevering 716 (#4.156)}	1994
"Goede tijden, slechte tijden" (1990) {Aflevering 884 (#5.134)}	1995
"Goedemorgen Nederland" (2002) {(2002-09-02)}	2002
"Goedemorgen Nederland" (2002) {(2003-05-16)}	2003
"Goeie vrijdag" (2010)	2010-????
"Going for Gold" (1987) {(#10.30)}	1996
"Going for Gold" (1987) {(#10.5)}	1996
"Going for Gold" (1987) {(#2.34)}	1988
"Going for Gold" (1987) {(#2.60)}	1988
"Going for Gold" (1987) {(#7.4)}	1993
"Going for Gold" (2008) {(#11.32)} {{SUSPENDED}}	2008
"Going for Gold" (2008) {(#11.43)} {{SUSPENDED}}	2008
"Going Live!" (1987) {(#1.21)}	1988
"Going Live!" (1987) {(#6.27)}	1993
"Goji ni muchu!" (2005) {(#1.2075)}	2013
"Golpe bajo" (2007) {(#2.5)}	2008
"Gomorron" (1992) {(2008-10-17)}	2008
"Gomorron" (1992) {(2010-09-06)}	2010
"Gomorron" (1992) {(2010-12-30)}	2010
"Gomorron" (1992) {(2013-06-11)}	2013
"Gomorron" (1992) {(2013-07-04)}	2013
"Gomorron" (1992) {(2013-09-14)}	2013
"Gomorron" (1992) {(2013-11-20)}	2013
"Gomorron" (1992) {Om filmerna 'S� vit som en sn�' och 'Festival'}	2001
"Gonchie" (2007) {(#5.7)}	????
"Good Bad Flicks" (2010) {America 3000 (#5.5)}	2014
"Good Day L.A." (1993) {(2013-05-03)}	2013
"Good Eats" (1999) {Pantry Raid III: Cool Beans (#3.10)}	2001
"Good Grief" (1990) {Mooses, Masons, and the Secret Life of Trees (#1.5)}	1990
"Good Morning America" (1975) {(1977-03-29)}	1977
"Good Morning America" (1975) {(1977-05-25)}	1977
"Good Morning America" (1975) {(2008-03-12)}	2008
"Good Morning America" (1975) {(2012-07-08)}	2012
"Good Morning America" (1975) {(2012-10-25)}	2012
"Good Morning America" (1975) {(2015-01-21)}	2015
"Good Morning America" (1975) {Yo Yo Man and the Silk Road Ensemble}	2002
"Good Mythical Morning" (2012) {Blood Type Personality Test (#8.68)}	2015
"Good Times" (1974) {Breaker, Breaker (#5.8)}	1977
"Good Times" (1974) {Florida's Rich Cousin (#3.5)}	1975
"Goodbye Cruel World" (1992)	1992-????
"Goodbye Deutschland! - Die Auswanderer" (2006) {Daniela Katzenberger bei Laux L.A. III}	2010
"Goodbye Deutschland! - Die Auswanderer" (2006) {West Coast 4: Loulou/Familie Busduga}	2011
"Goodyear Television Playhouse" (1951) {Pencil Sketch (#5.24)}	1956
"Gosei sentai Dairanger" (1993) {Attama Kit� (#1.5)}	1993
"Gospel Dream" (2003) {(2009-07-22)}	2009
"Gotha - kult, kitsch og b-film" (1996) {(#1.3)}	1996
"Gou: Himetachi no Sengoku" (2011) {Maboroshi no Sekigahara (#1.35)}	2011
"Gourmet's Diary of a Foodie" (2006) {Southern India: The Spice of Life (#2.1)}	2008
"Grace Period" (2015)	2015-????
"Graduados" (2012) {(#1.22)}	2012
"Graham's Gang" (1977) {Cordial Intent (#2.5)}	1979
"Gran hermano VIP: El desaf�o" (2004) {(2005-02-01)}	2005
"Gran teatro" (1960) {El amor de los cuatro coroneles}	1964
"Gran teatro" (1964) {Hipolito}	1964
"Grand Designs" (1999) {The Eco Arch: Revisited (#11.9)}	2011
"Grand Prix Snooker" (2006)	2006-????
"Grand Prix" (1995) {(2004-07-16)}	2004
"Grande Teatro Tupi" (1951) {Um Salmo de David (#13.37)}	1963
"Grandmother Winsome's Variety Minute" (2011) {Guest Anne Pastor (#2.1)}	2012
"Grange Hill" (1978) {(#28.6)}	2005
"Grange Hill" (1978) {Buddy Hell (#31.7)}	2008
"Granitsa vremeni" (2015) {(#1.23)}	????
"Grappler Baki kyokudai taikai" (2001) {Rencounter (#1.24)}	2001
"Great British Hairdresser" (2011) {(#1.8)}	2011
"Great British Railway Journeys" (2010) {Brighton to Crystal Palace (#2.1)}	2011
"Grechanka" (2015) {(#1.30)}	????
"Greed" (1999) {(2000-07-11)}	2000
"Green Porno" (2008) {Anglerfish (#2.5)}	????
"Greetings from Tucson" (2002) {Spiteful Dating (#1.6)}	2002
"Grey's Anatomy" (2005) {Much Too Much (#2.10)}	2005
"Grey's Anatomy" (2005) {Some Kind of Miracle (#3.17)}	2007
"Grim & Evil" (2001) {El d�a de los muertos estupidos/Heartburn (#7.12)}	2007
"Grim & Evil" (2001) {Prank Call of Cthulu (#5.6)}	2005
"Grimm" (2011) {Revelation (#3.13)}	2014
"Grizzly Tales for Gruesome Kids" (2000) {Message in a Bottle (#7.7)}	2011
"Groove High" (2012/I) {The Inside Man (#1.2)}	2012
"Grooveable Feast" (2010)	2010-????
"Grotbags" (1991) {The Revenge of Hogzilla}	????
"GT Ragazzi" (1998) {La fatina del Dentino}	2010
"GTAV Comedy" (2013) {Invisible Car Glitch & Sandy Ravaging (#1.1)}	2013
"Guapas" (2014) {After Office (#1.2)}	2014
"Gufol mysteriet" (1997)	1997-????
"Guide to Style" (2007) {(#1.1)}	2007
"Guinness World Records Unleashed" (2013) {Fighting a Jet (#1.2)}	2013
"Gumman som blev liten som en tesked" (1967) {Gumman och makaronipuddingen (#1.2)}	1967
"Gunn" (2008) {Home for War (#1.1)}	2008
"Guns, Germs, and Steel" (2005) {Out of Eden (#1.1)}	2005
"Gunshi Kanbee" (2014)	2014-????
"Gunshi Kanbee" (2014) {Inochigake no utage (#1.11)}	2014
"Gunsmoke" (1955) {The Innocent (#15.10)}	1969
"Gurimu meisaku gekijou" (1987) {The Golden Goose (#1.6)}	1987
"Gurimu meisaku gekijou" (1987) {The Story of the Summer Garden and the Winter Garden (#2.3)}	1988
"Gustafsson 3 tr" (2011) {Vera p� vift (#1.4)}	2011
"Gute Zeiten, schlechte Zeiten" (1992) {(#1.2386)}	2002
"Gute Zeiten, schlechte Zeiten" (1992) {(#1.4364)}	2009
"Guy Code" (2011) {PDA and Moms (#3.9)}	2013
"Guys with Kids" (2012) {Gary's Idea (#1.15)}	2013
"Gyakky� burai Kaiji" (2007) {B�rei (#1.14)}	2008
"Gyulchatay. Radi lyubvi" (2014) {(#1.12)}	????
"G�ster med gester" (1982) {(#9.6)}	2012
"G�g� sentai B�kenger" (2006) {Ky�fu naru dai shinkan (#1.48)}	2007
"H" (1998)	1998-2002
"Ha Ha Hairies" (2012) {The Day a Hairy Hoglet Came to Stay (#1.7)}	2012
"Ha-Shminiya" (2005) {Igban Tadeush (#3.28)}	2006
"Ha-Shminiya" (2005) {Little Red Riding Hood (#2.31)}	2006
"Habitar Habitat" (2013) {Casa do Colono Alem�o (#1.9)}	2014
"Hacch�bori no shichinin" (2000) {(#7.1)}	2006
"Hachimitsu to kur�b�" (2005) {Chapter 14 (#1.14)}	2005
"Hack" (2002)	2002-2004
"Hacktion" (2011) {M�ltid�z�s (#1.12)}	2012
"Haha wo tazunete sanzenri" (1976) {Finally to Mother (#1.51)}	1976
"Hai debate" (2006) {(2008-04-14)}	2008
"Hairapy" (2014) {Exodus (#1.3)}	????
"Hajime no ippo" (2000) {1 cm no hakairyoku (#1.7)}	2000
"Haj�napl�" (2009) {M�jus-J�nius (#1.5)}	2009
"Hakaba kitar�" (2008) {Jinr� to y�rei ressha (#1.7)}	2008
"Hakgyo 2013" (2012) {(#5.1)}	2012
"Hakushaku to y�sei" (2008) {Bansh� no kioku (#1.9)}	2008
"Half Cut Tea" (2013) {Sandeep Parikh: Writer/Director (#2.4)}	2013
"Half Hour Story" (1967) {Nothing's Ever Over (#3.5)}	1968
"Hallo Hollywood" (2009) {(#1.3)}	2009
"Hallo K3!" (2010) {De Karen-dictatuur (#1.10)}	2010
"Hallo Spencer" (1979) {Das Betthupferl (#29.9)}	2000
"Hallo Spencer" (1979) {Kleider f�r die Leute (#28.3)}	1995
"Hallo, det er Jul" (1995) {3. December (#1.3)}	1995
"Halo 4: Forward Unto Dawn" (2012) {Part 3 (#1.3)}	2012
"Hamilton Life" (2012)	2012-????
"Hammer House of Horror" (1980) {The Mark of Satan (#1.13)}	1980
"Hanako to An" (2014) {(#1.126)}	2014
"Hanako to An" (2014) {(#1.76)}	2014
"Handlers" (2014)	2014-????
"Hands on History" (2001) {Caskets}	2004
"Handy Ma'am with Beverly DeJulio" (2002) {The Bedroom (#1.12)}	2002
"Handy Manny's School for Tools" (2010) {Sneeze Cleans Up}	2010
"Hangin' In" (1981) {Meeting of the Minds (#6.9)}	1985
"Hangin' w/MTV" (1992) {Sonic Youth}	1992
"Hannah Montana" (2006) {Schooly Bully (#1.23)}	2007
"Hannity & Colmes" (1996) {(2005-08-09)}	2005
"Hannity" (2009) {(2010-04-14)}	2010
"Hannity" (2009) {(2012-04-16)}	2012
"Hannity" (2009) {(2012-07-23)}	2012
"Hannity" (2009) {(2014-09-02)}	2014
"Hannity" (2009) {(2015-01-15)}	2015
"Hannity" (2009) {(2015-07-01)}	2015
"Hannity" (2009) {(2015-09-17)}	2015
"Hannity" (2009) {(2015-09-30)}	2015
"Hannity" (2009) {Obama vs. Netanyahu}	2015
"Happening Now" (2007) {(2014-07-04)}	2014
"Happening Now" (2007) {(2015-03-26)}	2015
"Happening Now" (2007) {(2015-03-27)}	2015
"Happy Days" (1974) {Richie's Car (#2.2)}	1974
"Happy Days" (1974) {White Christmas (#8.6)}	1980
"Happy Hilda" (2015)	2015-????
"Happy Video Game Nerd" (2007) {Castlevania Gameboy Trilogy (#7.7)}	2013
"Harald Schmidt" (2004) {(2007-05-16)}	2007
"Harbor Shores" (2013) {SMS (#1.7)}	2013
"Hardball with Chris Matthews" (1997) {(2012-06-22)}	2012
"Hardball with Chris Matthews" (1997) {(2014-04-14)}	2014
"Hardball with Chris Matthews" (1997) {(2015-09-17)}	2015
"Hardcore Gangbang" (2012) {Krissy Lynn's Carnal Desires}	2015
"Hardly Working" (2007) {Making Fun (#1.24)}	2007
"HARDtalk Extra" (2004) {Julian Barnes}	2006
"HARDtalk Extra" (2004) {Paulo Coelho}	2005
"HARDtalk" (1997) {Zac Goldsmith}	2006
"Hardtied" (2005) {Dirty Words}	2011
"Hardtied" (2005) {Presenting Veruca James}	2013
"Harry and His Bucket Full of Dinosaurs" (2005) {Dino Snap (#2.36)}	????
"Harry and His Bucket Full of Dinosaurs" (2005) {I Want to Help/Bird of Paradise 2}	2012
"Hart of Dixie" (2011) {Take This Job and Shove It (#3.3)}	2013
"Hart of the Annex" (2005)	2005-????
"Harvest" (1980)	1980-????
"Hasta el fin del mundo" (2014) {Armando quiere el divorcio de inmediato (#1.124)}	2015
"Hasta el fin del mundo" (2014) {Corren a Fausto de la mansi�n Ripoll (#1.83)}	2014
"Hasta el fin del mundo" (2014) {Patricio quiere el amor de Marisol (#1.158)}	2015
"Haunt U" (2010) {Part 4}	2010
"Haunted History" (1999) {The Rockies}	2001
"Haunted Homes" (2004) {Plymouth Girls (#2.1)}	2007
"Haunted Lives: True Ghost Stories" (1991) {The Brotherhood/Ghost Watch/The Headless Ghost (#1.3)}	1995
"Have Gun - Will Travel" (1957) {Bearbait (#4.34)}	1961
"Have Gun - Will Travel" (1957) {The Knight (#5.38)}	1962
"Have You Been Paying Attention?" (2013) {(#4.9)}	2015
"Hawaii Five-O" (1968) {I'm a Family Crook - Don't Shoot! (#5.13)}	1972
"Hay que vivir" (2007) {A�os perdidos (#1.3)}	2007
"Hayaku okita asa wa..." (2005) {(2009-03-01)}	2009
"HBO Boxing After Dark" (1996) {(2009-01-17)}	2009
"HBO First Look" (1992) {The Last Mimzy (#14.7)}	2007
"Head Over Heels" (1997) {Vice Guy (#1.4)}	1997
"Heads Up with Richard Herring" (2005)	2005-2006
"Healing and the Mind with Bill Moyers" (1993) {The Art of Healing (#1.4)}	1993
"Heart to Heart" (1986) {(2008-10-03)}	2008
"Heartbeat" (1992) {Old Masters (#11.6)}	2001
"Heartbeat" (1992) {Waifs and Strays (#13.7)}	2003
"Heartbeat" (1992) {Wise Guys (#9.23)}	2000
"Heartland" (2007/II) {True Calling (#5.17)}	2012
"Hearts Afire" (1992) {Flamingo Summer (#1.22)}	1993
"HEC-TV Live!" (2007) {Fighting Fire (#5.16)}	2010
"Hee Haw" (1969) {(#17.7)}	1985
"Hee Haw" (1969) {(#4.10)}	1972
"Heil Honey I'm Home!" (1990) {Hitler in the Closer (#1.6)}	1990
"Heimatgeschichten" (1994) {Pl�tzlich und unerwartet}	1999
"Helicopter Heroes" (2007) {(#2.13)}	2008
"Hellenius H�rna" (2010) {Lill Lindfors (#4.3)}	2013
"Hello Cupid" (2013) {Two (#1.2)}	2013
"Hello! Hollywood" (2009) {Golden Globe Set Up}	2014
"Henry Danger" (2014) {Henry's Jelly (#2.8)}	2015
"Here and Now" (1961) {Judo}	1961
"Heroes Unmasked" (2007) {Missing Links (#3.8)}	2008
"Heroine Kombat" (2014) {Mynx v Lady Wonder}	2014
"Heroine Legends: Your Soul Is Mine" (2013) {Your Soul Is Mine 6}	2014
"Herre p� t�ppan" (2009) {(#1.8)}	2009
"Herzensbrecher" (2013) {Gott ist tot (#1.9)}	2013
"Hesse 120462/1100V" (1984) {Teht�v� koulussa (#1.4)}	1984
"Het Klokhuis" (1988) {Mineralen}	1996
"Het mysterie van..." (2013) {De Chinese nachtegaal (#2.17)}	2014
"Het sinterklaasjournaal" (2001) {(#4.19)}	2004
"Hetalia: Axis Powers" (2009) {(#3.13)}	????
"Heute bei Kr�gers" (1960) {Der widerspenstige Kranke (#1.5)}	1961
"Heute Show" (2009) {(2015-11-20)}	2015
"Hey Dude" (1989) {Cowboy Ernst (#2.12)}	1990
"Hey Duggee" (2014) {The Acorn Badge (#1.24)}	2015
"Hey Duggee" (2014) {The Puppy Badge (#1.36)}	2014
"Hidden in America" (2012) {American Militias (#1.2)}	2012
"Hier zijn de Van Rossems" (2015) {Rotterdam (#1.2)}	2015
"Higglytown Heroes" (2004) {Catch Up with Ketchup/Star Struck (#1.11)}	2004
"Higglytown Heroes" (2004) {Shear Luck/Big Night Out (#2.6)}	2006
"High Speed Pursuit: Justice on the Road" (2001)	2001-????
"Highly Evolved Human" (2015) {The Future (#1.6)}	2015
"Highway Patrol" (1955) {Female Hitchhiker (#2.24)}	1957
"Higurashi no naku koro ni" (2006) {Hizumi (#1.4)}	2006
"Hik�nin Sentai Akibarenj�" (2012) {M�s� Itassh� Genkai Toppa seyo! (#1.7)}	2012
"Hiller and Diller" (1997) {Smart Guy (#1.12)}	1998
"Hinter Gittern - Der Frauenknast" (1997) {Alles L�ge (#9.5)}	2002
"Hinter Gittern - Der Frauenknast" (1997) {Hurra, wir leben noch (#15.2)}	2005
"Hip-Hip i Hurra" (2011) {Kto przemalowal liscie? (#2.2)}	2013
"Hirugao: Heijitsu gogo 3 ji no koibitotachi" (2014) {(#1.3)}	2014
"Hisho no kagami" (2008)	2008-????
"Histoires de fiction" (2003)	2003-????
"Historia de nuestro cine" (2015) {(#1.86)}	2015
"Historias de hoy" (2000) {(2001-04-11)}	2001
"Historias Delirantes" (2010) {El Apostador (#3.7)}	2012
"Historier fra Danmark" (2002)	2002-????
"History Specials" (2010) {Who Really Discovered America? (#1.101)}	2010
"History" (2000) {The King's Speech - die wahre Geschichte}	2011
"Histrionics" (2009) {(#2.4)}	2010
"Hit the Floor" (2013) {Upset (#3.8)}	2015
"Hit the Ice" (2013) {Bull's Eyes (#4.6)}	2016
"Hit the Ice" (2013) {On the Bubble (#4.9)}	2016
"Hjernevask" (2010) {Sex (#1.5)}	2010
